ID,BLOCK,X,Y
52889,462501271168,-0.3360789,39.4815047
52889,462501271168,-0.336346,39.4815815
52889,462501271168,-0.3383412,39.4821556
52889,462501271168,-0.3386191,39.4822356
52889,462501271168,-0.3398002,39.4825754
52889,462501271168,-0.3398874,39.4826005
52889,462501271168,-0.3399587,39.482621
52889,462501271168,-0.339974,39.4826066
52889,462501271168,-0.3400022,39.4825837
52889,462501271168,-0.3400328,39.4825628
52889,462501271168,-0.3400656,39.4825441
52889,462501271168,-0.3400959,39.4825313
52889,462501271168,-0.3401281,39.4825197
52889,462501271168,-0.3401615,39.4825102
52889,462501271168,-0.3401959,39.4825031
52889,462501271168,-0.3402284,39.4824985
52889,462501271168,-0.3402309,39.4824982
52889,462501271168,-0.340266,39.4824958
52889,462501271168,-0.3403011,39.4824958
52889,462501271168,-0.3403362,39.4824982
52889,462501271168,-0.3403708,39.4825029
52889,462501271168,-0.3404048,39.4825099
52889,462501271168,-0.3404379,39.4825192
52889,462501271168,-0.3404698,39.4825307
52889,462501271168,-0.3405003,39.4825443
52889,462501271168,-0.3405291,39.48256
52889,462501271168,-0.3405561,39.4825775
52889,462501271168,-0.340581,39.4825967
52889,462501271168,-0.3406036,39.4826176
52889,462501271168,-0.3406238,39.4826399
52889,462501271168,-0.3406414,39.4826635
52889,462501271168,-0.3406563,39.4826882
52889,462501271168,-0.3406608,39.482697
52889,462501271168,-0.3406684,39.4827138
52889,462501271168,-0.3406776,39.4827405
52889,462501271168,-0.3406838,39.4827676
52889,462501271168,-0.340687,39.4827951
52889,462501271168,-0.340687,39.4828227
52889,462501271168,-0.340684,39.4828502
52889,462501271168,-0.3406778,39.4828773
52889,462501271168,-0.3406687,39.482904
52889,462501271168,-0.3406565,39.4829299
52889,462501271168,-0.3406415,39.4829549
52889,462501271168,-0.3406237,39.4829788
52889,462501271168,-0.3406034,39.4830015
52889,462501271168,-0.3405813,39.4830232
52889,462501271168,-0.3405715,39.4830312
52889,462501271168,-0.3405421,39.4830512
52889,462501271168,-0.3405106,39.4830691
52889,462501271168,-0.3404822,39.4830827
52889,462501271168,-0.3404772,39.4830849
52889,462501271168,-0.3404421,39.4830983
52889,462501271168,-0.3404057,39.4831094
52889,462501271168,-0.3403681,39.4831179
52889,462501271168,-0.3403298,39.4831238
52889,462501271168,-0.3401658,39.4834635
52889,462501271168,-0.3400791,39.483647
52889,462501271168,-0.3400777,39.4836508
52889,462501271168,-0.3400793,39.4836505
52889,462501271168,-0.3400814,39.4836502
52889,462501271168,-0.3400841,39.4836496
52889,462501271168,-0.3401853,39.4836344
